id,screen_name,latitude,longitude,in_reply_to_status_id,text,timestamp,conversation_id,conversation_deep,url,toxic,severe_toxic,obscene,threat,identity_hate,insult,target,extended,comment
941140095150718977,AmiIcarCajadas,,,941139699497922560,"@PabloJarrinT Delfín el Leicester criollo, campeón Pablito,...",2017-12-14 2:57:38,941139699497922560,2,https://www.twitter.com/AmiIcarCajadas/status/941140095150718977,0,0,0,0,0,0,@PabloJarrinT,La página no existe,
851266969902829568,verosanza,,,851265863353159681,@Martinminguchi Desde dónde lo estará escribiendo...Francia??? Se nota q está en otra onda el tipo,2017-04-10 2:53:56,851265863353159681,2,https://www.twitter.com/verosanza/status/851266969902829568,0,0,0,0,0,0,@GuillaumeLong,Desde dónde lo estará escribiendo...Francia??? Se nota q está en otra onda el tipo,ninguno
936711979049340929,estebancarranco,,,936605851678400513,"@aituitu Respeto su criterio amigo pero si fuese así, nunca hubiésemos ""merecido"" ir a un mundial. En la cancha tuv… https://t.co/8ucJX64XhI",2017-12-01 21:41:53,936574036611620864,3,https://www.twitter.com/estebancarranco/status/936711979049340929,0,0,0,0,0,0,@aituitu,"Respeto su criterio amigo pero si fuese así, nunca hubiésemos ""merecido"" ir a un mundial. En la cancha tuvimos la oportunidad de clasificar a Rusia pero la negligencia de mentes y de piernas se encargaron de mandarnos a verlo por tv. Slds.",discrepa pero es respetuoso
961989988949819392,LuisAndrade2,,,961769446095409152,"@higuerahernan Creo porque ""es multi facético, inteligente y todo lo sabe""",2018-02-09 15:47:40,961769446095409152,2,https://www.twitter.com/LuisAndrade2/status/961989988949819392,0,0,0,0,0,0,external,"Creo porque ""es multi facético, inteligente y todo lo sabe""",alabanza
974817041722028032,VinicioChimbor1,,,974427011782447109,"@luisevivanco Hágase revisar la presión del ojo, el parpadeo involuntario es producto de la presión alta del ojo",2018-03-17 1:17:48,974427011782447109,2,https://www.twitter.com/VinicioChimbor1/status/974817041722028032,0,0,0,0,0,0,@luisevivanco,"Hágase revisar la presión del ojo, el parpadeo involuntario es producto de la presión alta del ojo",consejo
952946713278517249,DavidAndres27,,,952380758794043392,@jcarlosaizprua #ImbaburaDiceNO y todo el Ecuador no se deja engañar.. 🚫🚯 @MashiRafael @GabrielaEsPais https://t.co/HPLnfl7fcy,2018-01-15 16:52:55,952380758794043392,2,https://www.twitter.com/DavidAndres27/status/952946713278517249,0,0,0,0,0,0,external,#ImbaburaDiceNO y todo el Ecuador no se deja engañar..  @MashiRafael @GabrielaEsPais,polìtico
912150783294140418,CarlosVerareal,,,,Pendejo. Perdido. Sin argumentos. https://t.co/TOX10pBeqj,2017-09-25 3:04:28,912150783294140418,1,https://www.twitter.com/CarlosVerareal/status/912150783294140418,0,0,0,0,0,1,external,Pendejo. Perdido. Sin argumentos.,insulto
958906232701640704,savirosero,,,958860053813104642,@marcelaholguin @UNIMAXTV @SomosEcuador3 @DilesNo_ec @EnlaceEcDigital @SomosMasEc @RCMTungurahua @liradelapaz… https://t.co/lMybQxmSU1,2018-02-01 3:33:56,958860053813104642,2,https://www.twitter.com/savirosero/status/958906232701640704,0,0,0,0,0,1,external,Mijita con esos apagones del CNE solo idiotas como tu creen que ellos respetan la voluntad del pueblo!!!,insulto
938763153462177794,Martinminguchi,,,,Orden de Prisión en contra de Cristina Elisabet. Hay días en que el mundo se pone bonito.,2017-12-07 13:32:31,938763153462177794,1,https://www.twitter.com/Martinminguchi/status/938763153462177794,0,0,0,0,0,0,na,Orden de Prisión en contra de Cristina Elisabet. Hay días en que el mundo se pone bonito.,
922845624483155969,7david1992,,,922823685089751040,@AlejaDuqueR @mashifraga Cuál es tu usuario en Snap Ale?,2017-10-24 15:21:57,922823685089751040,2,https://www.twitter.com/7david1992/status/922845624483155969,0,0,0,0,0,0,@AlejaDuqueR,Cuál es tu usuario en Snap Ale?,
988473931270180865,CarlosGalvez21,,,,Crack total Rogelio! https://t.co/bLXKaoAdAo,2018-04-23 17:45:24,988473931270180865,1,https://www.twitter.com/CarlosGalvez21/status/988473931270180865,0,0,0,0,0,0,external,Crack total Rogelio!,
924090999814619137,fernandezyom,,,923927672656420871,@higuerahernan @AugustoBarreraG Es lo único que saben. Igual fiscalizaron Colegios militares y piden a padres de fa… https://t.co/0k9Ofjx1lm,2017-10-28 1:50:37,923927672656420871,2,https://www.twitter.com/fernandezyom/status/924090999814619137,0,0,0,0,0,0,external,Es lo único que saben. Igual fiscalizaron Colegios militares y piden a padres de familia para cuotas estos misántropos,
850761181304418306,ammygmg,,,850753186004697088,@GranizoPolo @ESTEFANIESPIN @ecuavisa Y entonces El Telégrafo también???? O solo la vara es para un solo lado...?,2017-04-08 17:24:06,850750990693400576,3,https://www.twitter.com/ammygmg/status/850761181304418306,0,0,0,0,0,0,external,Los tweets  de esta cuenta están protegidos,
935322735722614784,CarlosVerareal,,,,"Para quienes trabajan en Torre A del Trade Building;desayuno,almuerzo y combos;8am a 4pm https://t.co/o2IT5LbC4Q",2017-11-28 1:41:32,935322735722614784,1,https://www.twitter.com/CarlosVerareal/status/935322735722614784,0,0,0,0,0,0,external,"Para quienes trabajan en Torre A del Trade Building;desayuno,almuerzo y combos;8am a 4pm",
876293320959545345,larepublica_ec,,,,ATENCIÓN Ejecutivo de Odebrecht en Ecuador grabó en video sus reuniones con políticos | La República EC https://t.co/iKPHUqQlB7,2017-06-18 4:19:43,876293320959545345,1,https://www.twitter.com/larepublica_ec/status/876293320959545345,0,0,0,0,0,0,external,ATENCIÓN Ejecutivo de Odebrecht en Ecuador grabó en video sus reuniones con políticos | La República EC,
948856582934290433,jorgitoU25,,,948800958808641536,@EddyLema @LIGACENTRAL_ @camilin86 @LDU_Oficial Mario Pineida lateral del bsc durante la temporada 2017,2018-01-04 10:00:12,948748330800222208,6,https://www.twitter.com/jorgitoU25/status/948856582934290433,0,0,0,0,0,0,external,Mario Pineida lateral del bsc durante la temporada 2017,
912110209182691329,daniel_rojas01,,,912108167793868800,@chipilaso93 Cevallos debería aprender de Cardenas! Le falta mucho a cevallos! Cardenas titular,2017-09-25 0:23:14,912108167793868800,2,https://www.twitter.com/daniel_rojas01/status/912110209182691329,0,0,0,0,0,0,external,Cevallos debería aprender de Cardenas! Le falta mucho a cevallos! Cardenas titular,
759902549789011968,fabriciovelav,,,,No creo que sea falta de dinero. Es necedad de la dirigencia! https://t.co/sXDsSnlIzh,2016-08-01 0:04:20,759902549789011968,1,https://www.twitter.com/fabriciovelav/status/759902549789011968,0,0,0,0,0,0,external,No creo que sea falta de dinero. Es necedad de la dirigencia!,
777509270669656065,camilin86,,,777356374003023872,@FernandoBscEc vamos un vmcombo en rusty?? Me das el empate,2016-09-18 14:07:10,777294028689772544,3,https://www.twitter.com/camilin86/status/777509270669656065,0,0,0,0,0,0,@FernandoBscEc,vamos un vmcombo en rusty?? Me das el empate,
942760550035066880,aldhair75,,,942597147698003969,@chipilaso93 @XavierOZevallos @PabloJarrinT El problema es que días antes de esas declaraciones ya se hablaba de qu… https://t.co/PwMaykhhKN,2017-12-18 14:16:45,942597147698003969,2,https://www.twitter.com/aldhair75/status/942760550035066880,0,0,0,0,0,0,external,El problema es que días antes de esas declaraciones ya se hablaba de que silva se había “vendido” a emelec,
958744615586291712,pjmoranm,,,958730878506676224,@aguschmer Y q culpa tiene el pobre carro?,2018-01-31 16:51:43,958730878506676224,2,https://www.twitter.com/pjmoranm/status/958744615586291712,0,0,0,0,0,0,na,Y q culpa tiene el pobre carro?,
801665446579732481,DiegoMoralesSa,,,801665064579239936,@aguschmer que no haya una final habla mejor de este campeón que el campeón del 2012,2016-11-24 5:55:11,801665064579239936,2,https://www.twitter.com/DiegoMoralesSa/status/801665446579732481,0,0,0,0,0,0,na,que no haya una final habla mejor de este campeón que el campeón del 2012,
790969540150689792,RastaFlavio,,,790963904948101124,@FidoCSE @Arturo_M13 @AndresPonce28  ojalá los que escriben eso los tengas de frente a ver si tienen los huevos para decírtelo en la cara,2016-10-25 17:33:28,790955540147036160,3,https://www.twitter.com/RastaFlavio/status/790969540150689792,0,1,0,0,0,0,external,ojalá los que escriben eso los tengas de frente a ver si tienen los huevos para decírtelo en la cara,severo tóxico
